model,task,input,best_params
KNN,subjectivity,cleaned_stemmed_text,"{'leaf_size': 1, 'metric': 'cosine', 'n_neighbors': 28, 'weights': 'distance'}"
SVM,subjectivity,cleaned_stemmed_text,"{'C': 10, 'degree': 0, 'gamma': 0.05, 'kernel': 'rbf'}"
DecisionTree,subjectivity,cleaned_stemmed_text,"{'criterion': 'gini', 'max_features': 'sqrt', 'splitter': 'random'}"
KNN,subjectivity,cleaned_lemmatized_text,"{'leaf_size': 1, 'metric': 'cosine', 'n_neighbors': 28, 'weights': 'distance'}"
SVM,subjectivity,cleaned_lemmatized_text,"{'C': 1, 'degree': 1, 'gamma': 0.25, 'kernel': 'poly'}"
DecisionTree,subjectivity,cleaned_lemmatized_text,"{'criterion': 'gini', 'max_features': 'sqrt', 'splitter': 'random'}"
KNN,subjectivity,cleaned_text,"{'leaf_size': 1, 'metric': 'cosine', 'n_neighbors': 24, 'weights': 'distance'}"
SVM,subjectivity,cleaned_text,"{'C': 1, 'degree': 0, 'gamma': 0.2, 'kernel': 'rbf'}"
DecisionTree,subjectivity,cleaned_text,"{'criterion': 'entropy', 'max_features': 'sqrt', 'splitter': 'best'}"
KNN,polarity,cleaned_stemmed_text,"{'leaf_size': 1, 'metric': 'cosine', 'n_neighbors': 27, 'weights': 'distance'}"
SVM,polarity,cleaned_stemmed_text,"{'C': 1, 'degree': 0, 'gamma': 0.2, 'kernel': 'rbf'}"
DecisionTree,polarity,cleaned_stemmed_text,"{'criterion': 'entropy', 'max_features': 'sqrt', 'splitter': 'best'}"
KNN,polarity,cleaned_lemmatized_text,"{'leaf_size': 1, 'metric': 'cosine', 'n_neighbors': 19, 'weights': 'distance'}"
SVM,polarity,cleaned_lemmatized_text,"{'C': 1, 'degree': 1, 'gamma': 0.25, 'kernel': 'poly'}"
DecisionTree,polarity,cleaned_lemmatized_text,"{'criterion': 'gini', 'max_features': 'sqrt', 'splitter': 'best'}"
KNN,polarity,cleaned_text,"{'leaf_size': 1, 'metric': 'cosine', 'n_neighbors': 18, 'weights': 'uniform'}"
SVM,polarity,cleaned_text,"{'C': 1, 'degree': 0, 'gamma': 0.25, 'kernel': 'rbf'}"
DecisionTree,polarity,cleaned_text,"{'criterion': 'entropy', 'max_features': 'sqrt', 'splitter': 'best'}"
